,김치찌개,된장찌개,부대찌개,비빔밥,삼겹살,제육볶음,떡볶이,라면,김밥,불고기,순두부찌개,감자탕,짜장면,짬뽕,냉면,햄버거,피자,돈까스,파스타,회덮밥,초밥,닭갈비,삼계탕,설렁탕,콩나물국밥,잔치국수,칼국수,야채곱창,순대국,고기국밥,족발,보쌈,닭강정,찜닭,갈비찜,닭볶음탕,매운탕,생선구이,해물파전,김치전,감자전,카레,쭈꾸미볶음,육개장,샌드위치,오므라이스,치킨,우동,타코야끼,닭한마리,알밥,사케동,텐동,카츠동,마제소바,규카츠,막창,김치볶음밥,야채볶음밥,중화볶음밥,참치마요덮밥,스팸마요덮밥,양념게장,간장게장,곱창전골,조개찜,샤브샤브,생선까스,꼬막비빔밥,떡갈비,닭발,콩국수,조개탕,버섯전골,마라탕,마라샹궈,고등어조림,쭈꾸미 삼겹살,어묵탕,샐러드,코다리,메밀소바,쌀국수,타코,우육면,나베,낙곱새,탕수육,유린기,아구찜,뼈해장국,회,장어덮밥,수육,양꼬치,스테키동,대창 덮밥,쫄면,육전,빵
김치찌개,1.0,0.5190714291550387,0.6760128955586656,0.3973859588757021,0.4219445666444332,0.7564411260394656,0.1187590221927385,0.2460107201942509,0.0258833766317507,0.2460107201942509,0.6432748538011692,0.6760128955586646,0.2865497076023391,0.4219445666444331,0.0898605643783001,0.2276908416232225,0.130563979112617,0.6161982916656439,0.1845473168422867,0.130563979112617,0.130563979112617,0.5522689637013797,0.2460107201942508,0.3480968013632939,0.2276908416232225,0.2865497076023392,0.1973684210526314,0.2672671028403077,0.4832047620887682,0.6161982916656439,0.1305639791126171,0.3248177041338281,0.130563979112617,0.3973859588757021,0.4219445666444331,0.5522689637013796,0.5226452306663673,0.29245491246674,0.1592982732160775,0.3752359324645377,0.0622645942671123,0.3045103133147142,0.3752359324645382,0.4501828825323367,0.0258833766317507,0.2116346677537264,0.2460107201942509,0.2116346677537264,0.1187590221927385,0.3480968013632938,0.3480968013632937,0.2276908416232225,0.3248177041338279,0.3248177041338279,0.4649122807017543,0.3973859588757021,0.4075500715665534,0.4501828825323369,0.2276908416232224,0.3757309941520468,0.143924639025208,0.246010720194251,0.2460107201942511,0.1592982732160774,0.3480968013632938,0.0622645942671123,0.2116346677537263,0.1773597533669261,0.3480968013632938,0.5190714291550386,0.1592982732160774,0.1187590221927385,0.177359753366926,0.143924639025208,0.2672671028403077,0.2116346677537262,0.5226452306663671,0.348096801363294,0.143924639025208,0.0334371166020116,0.3752359324645379,0.1845473168422867,0.304510313314714,0.130563979112617,0.421944566644433,0.2276908416232224,0.3045103133147143,0.4649122807017539,0.3248177041338279,0.3752359324645378,0.4832047620887681,0.130563979112617,0.1187590221927385,0.324817704133828,0.246010720194251,0.3045103133147142,0.3480968013632942,0.1081871345029239,0.143924639025208,0.0418385578561651
된장찌개,0.5190714291550387,1.0,0.4449510774681998,0.4449510774681995,0.153757225433526,0.3900462417367679,0.0403496008138864,0.1676834310270217,0.2426503391410428,0.1676834310270218,0.421944566644433,0.2426503391410426,0.3248177041338279,0.2595375722543353,0.202158909537734,0.1537572254335261,0.153757225433526,0.3653179190751445,0.307877040247725,0.2595375722543352,0.2595375722543355,0.3900462417367679,0.2788648363818947,0.2788648363818951,0.4710982658959537,0.4219445666444331,0.3248177041338277,0.3013601152693311,0.4189483905236755,0.3653179190751445,0.1537572254335261,0.1537572254335261,0.0479768786127167,0.2426503391410429,0.2595375722543354,0.2788648363818948,0.3281006629704723,0.4534501855667071,0.1837718400149865,0.1837718400149864,0.2027511403742376,0.3438007083046214,0.3013601152693311,0.1676834310270217,0.1414999699774646,0.3438007083046214,0.1676834310270217,0.2426503391410431,0.2426503391410428,0.278864836381895,0.5012276470916409,0.3653179190751445,0.3653179190751446,0.3653179190751446,0.3248177041338278,0.3438007083046211,0.2027511403742375,0.2788648363818948,0.4710982658959539,0.421944566644433,0.1676834310270216,0.2788648363818948,0.1676834310270217,0.1837718400149865,0.1676834310270216,0.2027511403742377,0.2426503391410429,0.3281006629704723,0.501227647091641,0.2595375722543352,0.066183564760642,0.3438007083046214,0.2027511403742377,0.2788648363818948,0.066183564760642,0.1414999699774647,0.4534501855667071,0.2788648363818948,0.1676834310270216,0.2595375722543352,0.3013601152693311,0.3078770402477249,0.3438007083046213,0.153757225433526,0.1537572254335259,0.2595375722543352,0.2426503391410429,0.2276908416232223,0.2595375722543352,0.3013601152693312,0.1837718400149866,0.2595375722543352,0.1414999699774647,0.1537572254335261,0.2788648363818948,0.242650339141043,0.2788648363818948,0.130563979112617,0.1676834310270217,0.1676834310270217
부대찌개,0.6760128955586656,0.4449510774681998,1.0,0.322938689217759,0.2426503391410428,0.4740604384593686,0.1294926004228329,0.2614303888562695,0.1294926004228329,0.1551153640547199,0.397385958875702,0.5163847780126847,0.3045103133147143,0.4449510774681997,0.1002000468864273,0.1414999699774647,0.1414999699774647,0.3438007083046213,0.198549743661155,0.1414999699774647,0.1414999699774647,0.5803754632609186,0.1551153640547199,0.2614303888562695,0.2426503391410428,0.3045103133147142,0.2116346677537263,0.3956956568552686,0.3956956568552686,0.3438007083046213,0.1414999699774647,0.1414999699774647,0.1414999699774647,0.3229386892177588,0.3438007083046213,0.4740604384593687,0.5488808750410782,0.3091548604049987,0.2832541891463959,0.5081371245641418,0.189291853086959,0.226215644820296,0.5081371245641417,0.3677454136578193,0.1294926004228329,0.226215644820296,0.2614303888562695,0.226215644820296,0.129492600422833,0.2614303888562695,0.3677454136578191,0.242650339141043,0.3438007083046214,0.3438007083046213,0.3973859588757021,0.3229386892177588,0.4290178677230384,0.4740604384593686,0.242650339141043,0.2116346677537264,0.1551153640547198,0.2614303888562695,0.3677454136578192,0.2832541891463957,0.4740604384593689,0.189291853086959,0.129492600422833,0.189291853086959,0.367745413657819,0.2426503391410429,0.2832541891463958,0.1294926004228329,0.3091548604049988,0.1551153640547199,0.3956956568552686,0.3229386892177591,0.5488808750410782,0.4740604384593686,0.2614303888562694,0.0403496008138864,0.5081371245641416,0.198549743661155,0.2262156448202959,0.0403496008138864,0.3438007083046214,0.1414999699774647,0.4196617336152219,0.2116346677537263,0.2426503391410429,0.3956956568552686,0.3956956568552686,0.1414999699774647,0.129492600422833,0.1414999699774647,0.2614303888562695,0.226215644820296,0.4740604384593685,0.1187590221927385,0.1551153640547199,0.0488003392531703
비빔밥,0.3973859588757021,0.4449510774681995,0.322938689217759,1.0,0.1414999699774647,0.4740604384593683,0.1294926004228329,0.1551153640547198,0.3229386892177588,0.2614303888562695,0.3973859588757015,0.3229386892177591,0.2116346677537263,0.2426503391410429,0.1866934835855605,0.1414999699774646,0.0403496008138864,0.3438007083046211,0.2880438399419223,0.4449510774681993,0.343800708304621,0.4740604384593684,0.3677454136578189,0.367745413657819,0.4449510774681995,0.3045103133147143,0.3045103133147142,0.2832541891463956,0.2832541891463957,0.3438007083046213,0.1414999699774647,0.242650339141043,0.1414999699774646,0.4196617336152221,0.1414999699774647,0.3677454136578188,0.3091548604049986,0.4290178677230384,0.0583712537286498,0.1708127214375228,0.1892918530869589,0.4196617336152221,0.2832541891463956,0.367745413657819,0.129492600422833,0.4196617336152219,0.1551153640547198,0.2262156448202959,0.129492600422833,0.367745413657819,0.4740604384593684,0.4449510774681993,0.3438007083046211,0.3438007083046212,0.4902616044366898,0.3229386892177588,0.1892918530869589,0.3677454136578192,0.4449510774681993,0.4902616044366898,0.2614303888562694,0.2614303888562694,0.1551153640547198,0.0583712537286499,0.1551153640547198,0.189291853086959,0.322938689217759,0.3091548604049988,0.5803754632609182,0.242650339141043,0.1708127214375228,0.2262156448202959,0.189291853086959,0.2614303888562693,0.1708127214375227,0.2262156448202958,0.4290178677230384,0.2614303888562695,0.1551153640547198,0.2426503391410431,0.2832541891463956,0.1985497436611551,0.4196617336152221,0.2426503391410428,0.343800708304621,0.3438007083046212,0.226215644820296,0.2116346677537263,0.2426503391410429,0.2832541891463956,0.1708127214375227,0.2426503391410428,0.2262156448202958,0.242650339141043,0.367745413657819,0.322938689217759,0.3677454136578194,0.3045103133147142,0.2614303888562695,0.1551153640547198
삼겹살,0.4219445666444332,0.153757225433526,0.2426503391410428,0.1414999699774647,1.0,0.501227647091641,0.0403496008138864,0.1676834310270216,0.0403496008138864,0.3900462417367678,0.2276908416232221,0.4449510774681993,0.130563979112617,0.0479768786127167,-0.0691986487415226,0.3653179190751447,0.3653179190751446,0.5768786127167631,0.1206959825555865,-0.0578034682080924,0.153757225433526,0.3900462417367678,0.1676834310270217,0.0565020256721485,0.0479768786127167,0.130563979112617,-0.0636897459085936,0.3013601152693311,0.1837718400149866,0.3653179190751446,0.3653179190751443,0.5768786127167632,0.2595375722543352,0.2426503391410429,0.2595375722543353,0.1676834310270216,0.0774016177780029,0.3281006629704723,0.4189483905236755,0.3013601152693311,0.3281006629704724,0.1414999699774646,0.3013601152693311,0.0565020256721485,0.0403496008138864,0.1414999699774647,0.5012276470916412,-0.0608007683496918,0.1414999699774647,0.1676834310270216,0.1676834310270216,0.0479768786127167,0.2595375722543352,0.153757225433526,0.2276908416232224,0.4449510774681994,0.578799708162942,0.1676834310270216,0.153757225433526,0.3248177041338276,0.1676834310270217,0.2788648363818949,0.3900462417367681,0.4189483905236756,0.1676834310270217,0.3281006629704723,0.1414999699774646,0.2027511403742376,0.1676834310270216,0.682658959537572,0.1837718400149865,0.0403496008138864,0.0774016177780029,0.0565020256721486,0.066183564760642,0.1414999699774647,0.2027511403742376,0.3900462417367679,0.0565020256721485,0.0479768786127167,0.3013601152693311,0.0271054537095173,0.1414999699774647,0.153757225433526,0.0479768786127167,0.153757225433526,0.2426503391410429,0.5190714291550383,0.3653179190751445,0.3013601152693311,0.1837718400149865,0.153757225433526,0.242650339141043,0.5768786127167633,0.3900462417367679,0.546101446631778,0.2788648363818948,-0.0636897459085936,0.501227647091641,0.0565020256721486
제육볶음,0.7564411260394656,0.3900462417367679,0.4740604384593686,0.4740604384593683,0.501227647091641,1.0,0.2614303888562695,0.2988505747126435,0.0488003392531702,0.4157088122605362,0.5522689637013798,0.6866904880624679,0.4501828825323367,0.3900462417367676,0.1246832151497088,0.2788648363818948,0.1676834310270217,0.7235904578013876,0.232215781412786,0.1676834310270216,0.1676834310270217,0.7662835249042148,0.2988505747126436,0.2988505747126436,0.2788648363818949,0.3480968013632936,0.143924639025208,0.4457424941602092,0.4457424941602091,0.6124090524465144,0.1676834310270217,0.3900462417367681,0.1676834310270216,0.4740604384593683,0.3900462417367679,0.6494252873563217,0.4816425920799038,0.3498928247396609,0.1985580201259114,0.3221502571430601,0.0863932900591755,0.4740604384593686,0.5693347311773581,0.4157088122605362,0.0488003392531702,0.3677454136578191,0.2988505747126435,0.1551153640547198,0.1551153640547198,0.2988505747126436,0.4157088122605363,0.2788648363818947,0.3900462417367679,0.3900462417367678,0.5522689637013796,0.4740604384593686,0.4816425920799038,0.5325670498084291,0.3900462417367679,0.5522689637013793,0.181992337164751,0.2988505747126435,0.2988505747126436,0.1985580201259114,0.2988505747126436,0.0863932900591755,0.1551153640547199,0.2181430573994182,0.4157088122605363,0.6124090524465144,0.3221502571430603,0.1551153640547198,0.0863932900591755,0.0651340996168582,0.1985580201259113,0.3677454136578191,0.6133923594201467,0.5325670498084291,0.0651340996168581,0.0565020256721486,0.4457424941602091,0.2322157814127859,0.3677454136578192,0.1676834310270216,0.3900462417367678,0.1676834310270218,0.4740604384593686,0.5522689637013797,0.3900462417367677,0.445742494160209,0.4457424941602091,0.1676834310270217,0.1551153640547199,0.390046241736768,0.2988505747126435,0.3677454136578191,0.5325670498084292,0.143924639025208,0.1819923371647509,0.0651340996168582
떡볶이,0.1187590221927385,0.0403496008138864,0.1294926004228329,0.1294926004228329,0.0403496008138864,0.2614303888562695,1.0,0.3677454136578191,0.226215644820296,0.1551153640547198,0.0258833766317507,0.0327695560253699,0.2116346677537264,0.0403496008138864,-0.0727868265118387,0.1414999699774646,0.1414999699774646,0.1414999699774646,0.0195615510996211,-0.0608007683496918,0.0403496008138863,0.2614303888562695,-0.0575146855483792,-0.0575146855483792,0.0403496008138864,0.0258833766317506,-0.0669922689292371,0.3956956568552687,-0.054070213980223,-0.0608007683496918,0.2426503391410429,0.1414999699774647,0.1414999699774647,0.1294926004228329,-0.0608007683496918,0.1551153640547199,0.0694288457689192,0.0694288457689192,0.0583712537286498,0.2832541891463958,0.189291853086959,0.1294926004228329,0.2832541891463958,0.0488003392531703,0.2262156448202959,0.2262156448202959,0.2614303888562695,-0.063953488372093,0.1294926004228329,-0.0575146855483792,0.0488003392531702,0.0403496008138864,0.0403496008138864,0.0403496008138863,0.1187590221927384,0.0327695560253699,0.189291853086959,0.3677454136578191,0.2426503391410429,0.1187590221927385,0.1551153640547198,0.1551153640547198,0.2614303888562695,0.0583712537286499,0.0488003392531702,0.0694288457689192,-0.063953488372093,0.189291853086959,0.0488003392531702,0.0403496008138863,0.5081371245641418,-0.063953488372093,-0.0504341615491205,-0.0575146855483792,0.0583712537286498,0.226215644820296,0.189291853086959,0.2614303888562695,-0.0575146855483792,0.0403496008138864,0.1708127214375228,-0.0699325451811458,0.0327695560253699,0.1414999699774646,0.0403496008138864,-0.0608007683496919,0.2262156448202959,0.0258833766317506,0.0403496008138864,0.1708127214375228,0.0583712537286498,0.0403496008138864,0.0327695560253699,0.0403496008138864,0.0488003392531702,0.0327695560253699,0.2614303888562696,0.1187590221927385,0.0488003392531702,0.1551153640547199
라면,0.2460107201942509,0.1676834310270217,0.2614303888562695,0.1551153640547198,0.1676834310270216,0.2988505747126435,0.3677454136578191,1.0,0.1551153640547198,0.0651340996168582,0.0418385578561651,0.1551153640547198,0.4501828825323368,0.3900462417367677,0.2197541667013618,0.2788648363818948,0.3900462417367675,0.2788648363818948,0.3305849665945914,-0.0546793796827244,0.0565020256721486,0.2988505747126436,-0.0517241379310344,-0.0517241379310344,0.0565020256721486,0.5522689637013796,0.3480968013632936,0.4457424941602091,0.0749657831087624,0.0565020256721486,0.1676834310270217,0.1676834310270217,0.1676834310270216,0.2614303888562694,0.0565020256721486,0.1819923371647507,0.2181430573994182,0.0863932900591755,0.1985580201259113,0.445742494160209,0.2181430573994182,0.0488003392531702,0.3221502571430601,0.0651340996168582,0.1551153640547198,0.1551153640547198,0.4157088122605362,0.3677454136578191,0.3677454136578191,-0.0517241379310344,0.1819923371647509,0.0565020256721486,0.1676834310270217,0.1676834310270216,0.4501828825323366,0.1551153640547198,0.3498928247396608,0.4157088122605361,0.2788648363818949,0.143924639025208,0.1819923371647509,0.2988505747126435,0.2988505747126437,0.1985580201259115,0.1819923371647508,0.0863932900591755,-0.0575146855483792,0.2181430573994182,0.1819923371647509,0.1676834310270216,0.3221502571430604,0.1551153640547199,-0.0453564772810671,-0.0517241379310345,0.0749657831087624,0.1551153640547198,0.349892824739661,0.2988505747126435,-0.0517241379310344,0.0565020256721486,0.3221502571430601,0.3305849665945911,0.3677454136578193,0.1676834310270217,0.2788648363818946,-0.0546793796827244,0.2614303888562695,0.143924639025208,0.1676834310270216,0.3221502571430602,0.1985580201259112,0.0565020256721486,0.0488003392531703,0.1676834310270217,0.0651340996168582,0.1551153640547199,0.2988505747126436,0.3480968013632938,0.0651340996168582,0.2988505747126436
김밥,0.0258833766317507,0.2426503391410428,0.1294926004228329,0.3229386892177588,0.0403496008138864,0.0488003392531702,0.226215644820296,0.1551153640547198,1.0,0.0488003392531702,0.0258833766317506,-0.0639534883720929,0.1187590221927385,-0.0608007683496918,0.0137066101872943,0.1414999699774647,0.1414999699774646,0.1414999699774647,0.1090556473803881,0.1414999699774646,0.242650339141043,0.0488003392531703,0.0488003392531703,0.0488003392531702,0.2426503391410429,0.1187590221927385,0.1187590221927385,0.1708127214375228,0.0583712537286498,0.0403496008138863,0.2426503391410429,0.242650339141043,0.1414999699774647,0.0327695560253699,-0.0608007683496918,-0.0575146855483792,-0.0504341615491205,0.189291853086959,0.0583712537286498,0.1708127214375228,0.3091548604049987,0.129492600422833,0.0583712537286498,-0.0575146855483792,0.419661733615222,0.3229386892177588,0.1551153640547198,0.03276955602537,0.226215644820296,0.0488003392531702,0.2614303888562694,0.2426503391410429,0.1414999699774646,0.1414999699774647,0.0258833766317506,0.03276955602537,0.0694288457689192,0.2614303888562695,0.4449510774681994,0.3045103133147141,0.2614303888562695,0.2614303888562695,0.0488003392531703,0.0583712537286499,-0.0575146855483792,0.189291853086959,0.1294926004228329,0.3091548604049988,0.2614303888562693,0.0403496008138864,0.0583712537286499,0.0327695560253699,0.0694288457689192,0.1551153640547198,-0.054070213980223,0.0327695560253699,0.0694288457689192,0.0488003392531702,0.0488003392531702,0.2426503391410431,0.0583712537286498,0.0195615510996211,0.129492600422833,0.2426503391410429,-0.0608007683496918,0.1414999699774646,0.0327695560253699,0.0258833766317506,0.0403496008138864,0.0583712537286498,-0.054070213980223,0.1414999699774647,0.1294926004228329,0.1414999699774647,0.1551153640547198,0.129492600422833,0.1551153640547199,0.1187590221927385,0.1551153640547198,0.2614303888562695
불고기,0.2460107201942509,0.1676834310270218,0.1551153640547199,0.2614303888562695,0.3900462417367678,0.4157088122605362,0.1551153640547198,0.0651340996168582,0.0488003392531702,1.0,0.143924639025208,0.1551153640547198,0.2460107201942509,0.0565020256721486,0.0296122635980558,0.2788648363818948,0.1676834310270217,0.2788648363818947,0.1338465962309808,0.0565020256721486,0.3900462417367679,0.4157088122605362,0.1819923371647508,0.4157088122605362,0.1676834310270217,0.143924639025208,0.1439246390252078,0.1985580201259113,0.0749657831087624,0.2788648363818947,0.1676834310270218,0.2788648363818948,0.2788648363818947,0.4740604384593686,0.2788648363818947,0.2988505747126435,0.0863932900591755,0.349892824739661,0.0749657831087624,0.0749657831087624,0.0863932900591755,0.3677454136578191,0.3221502571430603,0.4157088122605362,0.0488003392531703,0.2614303888562695,0.1819923371647509,0.1551153640547199,0.0488003392531702,0.2988505747126433,0.181992337164751,0.2788648363818948,0.1676834310270217,0.2788648363818947,0.2460107201942508,0.4740604384593687,0.2181430573994182,0.2988505747126437,0.2788648363818948,0.3480968013632938,0.181992337164751,0.181992337164751,0.181992337164751,0.3221502571430604,0.0651340996168582,0.349892824739661,0.367745413657819,0.2181430573994182,0.1819923371647509,0.6124090524465146,0.1985580201259114,0.0488003392531702,0.0863932900591755,0.2988505747126436,0.0749657831087624,0.2614303888562695,0.2181430573994183,0.4157088122605362,0.0651340996168582,0.0565020256721486,0.1985580201259114,0.0354774110491756,0.2614303888562696,0.1676834310270216,0.3900462417367678,0.3900462417367678,0.2614303888562695,0.4501828825323368,0.3900462417367678,0.3221502571430603,0.0749657831087625,0.3900462417367679,0.5803754632609183,0.2788648363818948,0.4157088122605361,0.5803754632609186,0.2988505747126436,0.0418385578561651,0.4157088122605361,0.0651340996168582
