메뉴,간편성,분류,주재료_가끔,주재료_고기국물,주재료_양고기,주재료_부침가루,주재료_닭고기 튀김,주재료_쇠고기 사골,주재료_옥수수또띠아,주재료_닭발,주재료_각종재료,주재료_쇠고기,주재료_순두부,주재료_야채,주재료_면,주재료_마라,주재료_치즈,주재료_생선회,주재료_소시지,주재료_감자,주재료_닭고기,주재료_쇠고기 스테이크,주재료_멸치국물,주재료_떡,주재료_버섯,주재료_김치,주재료_쇠고기 얇게 부침,주재료_돈카츠,주재료_어묵,주재료_쌀면,주재료_아귀,주재료_밀면,주재료_돼지족,주재료_고기,주재료_삼겹살,주재료_돼지고기 튀김,주재료_문어,주재료_해산물,주재료_햄,주재료_쇠고기패티,주재료_밀,주재료_쭈꾸미,주재료_밀가루빵,주재료_돼지고기,주재료_고추장,주재료_연어,주재료_쇠고기 튀김스테이크,주재료_된장,주재료_곡류,주재료_돼지고기 뼈,주재료_다진고기,주재료_생선,주재료_돼지뼈,주재료_채소,주재료_햄 등,주재료_밥,주재료_낙지,주재료_대창,주재료_날치알,주재료_꼬막,주재료_돼지막창,주재료_빵,주재료_메밀면,주재료_스팸,주재료_코다리,주재료_돼지,주재료_참치,주재료_장어,주재료_반건조 명태,주재료_마요,주재료_생선가공,주재료_돼지내장,주재료_돼지갈비,주재료_명란,주재료_당면,주재료_곱창,주재료_콩,주재료_달걀,주재료_나물,주재료_콩나물,주재료_향신료,주재료_다진 소고기,주재료_꽃게,주재료_새우튀김,주재료_새우,주재료_소스,주재료_고등어,주재료_춘장,주재료_돼지고기 수육,주재료_밀가루반죽,주재료_조개,주재료_소갈비,맛 프로파일_고소,맛 프로파일_담백,맛 프로파일_맑은맛,맛 프로파일_새콤,맛 프로파일_담백~고소,맛 프로파일_짭짤,맛 프로파일_약간 단맛,맛 프로파일_약간짭짤,맛 프로파일_향신료맛,맛 프로파일_약간매움,맛 프로파일_향신료,맛 프로파일_매움,맛 프로파일_달콤,맛 프로파일_약간단맛,맛 프로파일_소스별 상이,맛 프로파일_기름진 감칠맛,맛 프로파일_매콤,맛 프로파일_감칠맛,맛 프로파일_상큼,맛 프로파일_물냉면 기준,식사 타입/상황_한 끼 식사,식사 타입/상황_분식,식사 타입/상황_야식,식사 타입/상황_여름,식사 타입/상황_다이어트,식사 타입/상황_해장,식사 타입/상황_손님접대,식사 타입/상황_정식,식사 타입/상황_술안주,식사 타입/상황_간식,식사 타입/상황_아침대용,식사 타입/상황_가정식,식사 타입/상황_가벼운 식사,식사 타입/상황_길거리음식,식사 타입/상황_정식 식사,식사 타입/상황_회식,식사 타입/상황_패스트푸드,조리 방식_전,조리 방식_베이킹,조리 방식_롤,조리 방식_튀김 후 계란,조리 방식_삶기 후 양념,조리 방식_조립,조리 방식_패스트푸드,조리 방식_볶음 후 밥 위,조리 방식_튀김,조리 방식_튀김 후 소스 버무림,조리 방식_차게,조리 방식_오븐,조리 방식_탕,조리 방식_탕류,조리 방식_직접조립,조리 방식_면류,조리 방식_구움,조리 방식_볶음밥 후 계란 덮기,조리 방식_삶기 후 국물,조리 방식_볶음양념,조리 방식_볶음밥,조리 방식_튀김 후 레어조리,조리 방식_찜,조리 방식_찌개,조리 방식_조림,조리 방식_구이,조리 방식_튀김 후 소스,조리 방식_볶음소스,조리 방식_생식 후 양념,조리 방식_삶고 소스,조리 방식_비빔면,조리 방식_국밥,조리 방식_전골,조리 방식_비빔,조리 방식_차가움,조리 방식_생식 후 간장절임,조리 방식_드레싱,조리 방식_김에 말기,조리 방식_건조한 탕류,조리 방식_양념,조리 방식_철판 구움,조리 방식_생식,조리 방식_덮밥,조리 방식_샤브,조리 방식_삶기,조리 방식_볶음,조리 방식_생식 후 조합,계절/날씨_여름 선호,계절/날씨_여름,계절/날씨_복날,계절/날씨_장마철,계절/날씨_사계절,계절/날씨_여름 보양,계절/날씨_겨울 제철,계절/날씨_겨울 선호,계절/날씨_여름선호
김치찌개,보통,한식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
된장찌개,보통,한식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
부대찌개,보통,한식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
비빔밥,보통,한식,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
삼겹살,복잡(직접 구워야 함),한식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제육볶음,보통,한식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
떡볶이,간편,한식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
라면,간편,한식,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
김밥,간편,한식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
불고기,보통,한식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
